idx,v_inf,b_over_M,eps,ell,M,success,error,alpha_inf,alpha_near_horizon,r_straighten,r_inner,can_escape,n_turning_points
507,1.9999999999999998,3.969368806767194,0.5773502691896258,4.583432298199887,1.0,True,,0.0790594357517435,1.5707909633900992,nan,2.2308457748,True,2
508,1.9999999999999998,4.005290696421196,0.5773502691896258,4.624911323522963,1.0,True,,0.07977642057625188,1.5707896034457995,nan,2.2224201188,True,2
509,1.9999999999999998,4.041212586075198,0.5773502691896258,4.666390348846039,1.0,True,,0.08049344650079186,1.4209723135613597,nan,2.2146004802,True,2
510,1.9999999999999998,4.077134475729199,0.5773502691896258,4.707869374169114,1.0,True,,0.08121051390113779,1.5707860103158207,nan,2.2073156432,True,2
511,1.9999999999999998,4.113056365383201,0.5773502691896258,4.749348399492191,1.0,True,,0.08192762315325805,1.427267391778198,nan,2.2005062417,True,2
512,1.9999999999999998,4.148978255037203,0.5773502691896258,4.790827424815267,1.0,True,,0.08264477463331675,1.5707852942337122,nan,2.1941222295,True,2
513,1.9999999999999998,4.184900144691205,0.5773502691896258,4.832306450138343,1.0,True,,0.08336196871767572,1.4291215655621026,nan,2.1881210015,True,2
514,1.9999999999999998,4.220822034345207,0.5773502691896258,4.8737854754614185,1.0,True,,0.08407920578289624,1.5707905185449575,nan,2.18246597,True,2
515,1.9999999999999998,4.256743923999208,0.5773502691896258,4.9152645007844935,1.0,True,,0.0847964862057409,1.5707882702372937,nan,2.1771254714,True,2
516,1.9999999999999998,4.29266581365321,0.5773502691896258,4.95674352610757,1.0,True,,0.08551381036317543,1.5707857207901812,nan,2.1720719123,True,2
517,1.9999999999999998,4.328587703307212,0.5773502691896258,4.998222551430646,1.0,True,,0.08623117863237051,1.4222575528224377,nan,2.1672810956,True,2
525,3.0000000000000004,0.1,0.35355339059327373,0.10606601717798213,1.0,True,,0.0019953877078350384,0.00471984888067484,nan,2.002002002002002,False,0
526,3.0000000000000004,0.12115276586285884,0.35355339059327373,0.1285019134517003,1.0,True,,0.0024174681481844732,0.005718237395372631,nan,2.002002002002002,False,0
518,1.9999999999999998,4.364509592961214,0.5773502691896258,5.039701576753723,1.0,True,,0.08694859139070354,1.57078498004562,nan,2.1627316814,True,2
519,1.9999999999999998,4.4004314826152156,0.5773502691896258,5.081180602076798,1.0,True,,0.0876660490157607,1.415126451904361,nan,2.1584047529,True,2
520,1.9999999999999998,4.6415888336127775,0.5773502691896258,5.3596451251077974,1.0,True,,0.09248380589128533,1.4221109943500672,nan,2.1340185951,True,2
527,3.0000000000000004,0.14677992676220694,0.35355339059327373,0.155683622333432,1.0,True,,0.0029288308599002464,0.00692782042497436,nan,2.002002002002002,False,0
528,3.0000000000000004,0.1778279410038923,0.35355339059327373,0.1886150144524403,1.0,True,,0.0035483619673727404,0.008393277467152677,nan,2.002002002002002,False,0
529,3.0000000000000004,0.21544346900318834,0.35355339059327373,0.22851230684176232,1.0,True,,0.004298942886455777,0.010168743652097292,nan,2.002002002002002,False,0
530,3.0000000000000004,0.26101572156825364,0.35355339059327373,0.2768489800758179,1.0,True,,0.005208295714474872,0.012319813515847,nan,2.002002002002002,False,0
531,3.0000000000000004,0.31622776601683794,0.35355339059327373,0.33541019662496846,1.0,True,,0.006310007657929686,0.014925971465714552,nan,2.002002002002002,False,0
532,3.0000000000000004,0.3831186849557287,0.35355339059327373,0.4063587301972024,1.0,True,,0.007644772536149682,0.018083541406431033,nan,2.002002002002002,False,0
533,3.0000000000000004,0.46415888336127786,0.35355339059327373,0.49231484095910294,1.0,True,,0.009261895575198008,0.021909269280000542,nan,2.002002002002002,False,0
534,3.0000000000000004,0.5623413251903491,0.35355339059327373,0.596453046575288,1.0,True,,0.01122111771298219,0.02654467940689738,nan,2.002002002002002,False,0
535,3.0000000000000004,0.6812920690579611,0.35355339059327373,0.7226193629992469,1.0,True,,0.013594827939913295,0.03216138079709483,nan,2.002002002002002,False,0
536,3.0000000000000004,0.8254041852680184,0.35355339059327373,0.8754733449341597,1.0,True,,0.016470747425819048,0.0389675466468576,nan,2.002002002002002,False,0
537,3.0000000000000004,1.0,0.35355339059327373,1.0606601717798212,1.0,True,,0.019955188201723602,0.04721585495338221,nan,2.002002002002002,False,0
538,3.0000000000000004,1.2115276586285881,0.35355339059327373,1.2850191345170028,1.0,True,,0.024177013222997597,0.05721327047467649,nan,2.002002002002002,False,0
539,3.0000000000000004,1.467799267622069,0.35355339059327373,1.5568362233343194,1.0,True,,0.02929245560181188,0.06933318522039088,nan,2.002002002002002,False,0
540,3.0000000000000004,1.7782794100389228,0.35355339059327373,1.8861501445244029,1.0,True,,0.03549099554958618,0.08403064645621167,nan,2.002002002002002,False,0
521,1.9999999999999998,5.623413251903491,0.5773502691896258,6.493358309501979,1.0,True,,0.11212180162286005,1.4994298601422003,nan,2.0791758858,True,2
