p_c_cgs,rho0_gcm3,r_c_km,n,M_Msun,R_km,M_over_R,success,fail_reason,at_boundary
8.06825584030287e+34,100000000000.0,5.0,2,1.4842697815455728,13.311572113589508,0.1646519420112394,True,,False
5.678547829591974e+34,100000000000.0,5.0,2,1.284340845895582,13.315401402108822,0.14243259687161142,True,,False
2.812888660964246e+34,100000000000.0,5.0,2,0.9018800436668689,13.159821910810047,0.10120037599724652,True,,False
1.3664483492953243e+35,100000000000.0,5.0,2,1.7713120763337507,13.175575783546742,0.1985220911369881,True,,False
3.996638937983064e+34,100000000000.0,5.0,2,1.0873405364906676,13.254833146864488,0.12113640332376668,True,,False
1.6287874214985499e+35,100000000000.0,5.0,2,1.8588441166933027,13.09423570828103,0.2096264973862432,True,,False
2.758531617629187e+35,100000000000.0,5.0,2,2.0824187756156243,12.739799373452351,0.2413730860156593,True,,False
1.9414919457438817e+35,100000000000.0,5.0,2,1.940488391309944,12.994074820425531,0.22052053977289568,True,,False
1.146362666267422e+35,100000000000.0,5.0,2,1.6788961114907308,13.236465216706561,0.1872988718395256,True,,False
2.3142313881085676e+35,100000000000.0,5.0,2,2.0152713691722037,12.87480302630558,0.23114063523797343,True,,False
1e+33,100000000000.0,10.0,2,0.2236671669310101,14.420949618483219,0.022902966519140935,True,,False
1.1919860873910918e+33,100000000000.0,10.0,2,0.23607656227059456,14.391393662220672,0.024223304042018914,True,,False
2.018760254679043e+33,100000000000.0,10.0,2,0.26765142326225183,14.110592967690781,0.028009648169874897,True,,False
1.4208308325339238e+33,100000000000.0,10.0,2,0.24753341186539632,14.327137607936228,0.025512778394565894,True,,False
2.4063341373555167e+33,100000000000.0,10.0,2,0.2763699877717888,13.965850680700198,0.029221792054375716,True,,False
1.6936105849167396e+33,100000000000.0,10.0,2,0.2580501324056078,14.23224637019792,0.026774045317852928,True,,False
2.868316813342021e+33,100000000000.0,10.0,2,0.2850963785479394,13.794297100433827,0.030519364499688645,True,,False
4.857811715970698e+33,100000000000.0,10.0,2,0.3378273512888297,13.271240529144988,0.03758950863370877,True,,False
5.790443980602518e+33,100000000000.0,10.0,2,0.36606185201223673,13.145044131655276,0.04112214736566044,True,,False
3.41899373573364e+33,100000000000.0,10.0,2,0.29781598353775623,13.605442328596352,0.0323235236146041,True,,False
6.902128664695696e+33,100000000000.0,10.0,2,0.4002547848273053,13.052614088461098,0.04528166583643144,True,,False
4.075392965871795e+33,100000000000.0,10.0,2,0.3152120823677414,13.426652197278978,0.034667177002939704,True,,False
8.227241341700525e+33,100000000000.0,10.0,2,0.4405776042953337,12.992732688379782,0.05007319171531211,True,,False
9.806757216915845e+33,100000000000.0,10.0,2,0.4871126955849074,12.95992536520128,0.05550221420404449,True,,False
1.3933743020968605e+34,100000000000.0,10.0,2,0.599688000550994,12.969128099096382,0.06828069610568477,True,,False
1.660882782627703e+34,100000000000.0,10.0,2,0.6656798382764534,12.999240540409282,0.07561897466695626,True,,False
2.812888660964246e+34,100000000000.0,10.0,2,0.9015222501784304,13.13754100881488,0.10133179274093425,True,,False
1.979749169679625e+34,100000000000.0,10.0,2,0.7380744718596299,13.038613643524288,0.08358957724481166,True,,False
2.359833466782179e+34,100000000000.0,10.0,2,0.8168789488193803,13.089172075293925,0.09215711872576536,True,,False
