idx,r_c,n,rho_0,success,error,r_match,M_match,p_central,rho_central,n_interior_points,overlap_integral,fractional_shift
313,3.1622776601683795,8,0.00026826957952797245,False,r_max,,,,,,,
307,3.1622776601683795,5,0.0019306977288832496,False,integration_crashed,,,,,,,
306,3.1622776601683795,5,0.0007196856730011522,False,integration_crashed,,,,,,,
311,3.1622776601683795,5,0.1,False,integration_crashed,,,,,,,
310,3.1622776601683795,5,0.03727593720314938,False,integration_crashed,,,,,,,
308,3.1622776601683795,5,0.005179474679231213,False,integration_crashed,,,,,,,
309,3.1622776601683795,5,0.013894954943731374,False,integration_crashed,,,,,,,
319,3.1622776601683795,8,0.1,False,integration_crashed,,,,,,,
318,3.1622776601683795,8,0.03727593720314938,False,integration_crashed,,,,,,,
315,3.1622776601683795,8,0.0019306977288832496,False,integration_crashed,,,,,,,
314,3.1622776601683795,8,0.0007196856730011522,False,integration_crashed,,,,,,,
317,3.1622776601683795,8,0.013894954943731374,False,integration_crashed,,,,,,,
316,3.1622776601683795,8,0.005179474679231213,False,integration_crashed,,,,,,,
